fern ID,fern size,leaf ID,SPAD (3x/side),SPAD (3x/side),SPAD_avg,Wt-fresh,Wt-dry,LDMC,Lth_1,Lth_2,Lth_3,Lth_4,Lth_avg,note
2,,1,33.6,30.4,32,0.166,0.03,0.180722892,0.424,0.381,0.344,0.386,0.02125,
2,,2,29.7,31.1,30.4,0.167,0.033,0.19760479,0.393,0.373,0.404,0.377,0.01175,
2,,3,32.3,33.4,32.85,0.17,0.034,0.2,0.358,0.333,0.331,0.36,0.0135,
7,,1,40.6,36.5,38.55,0.108,0.023,0.212962963,0.281,0.263,0.277,0.285,0.00675,
7,,2,34.3,34.6,34.45,0.116,0.025,0.215517241,0.245,0.277,0.311,0.236,0.02675,
7,,3,38.2,37.2,37.7,0.114,0.026,0.228070175,0.254,0.257,0.248,0.281,0.0105,
5,,1,35.7,39.4,37.55,0.138,0.025,0.18115942,0.277,0.349,0.339,0.306,0.02625,
5,,2,33.6,34.9,34.25,0.139,0.023,0.165467626,0.303,0.302,0.304,0.302,0.00075,
5,,3,47.3,47.2,47.25,0.134,0.026,0.194029851,0.282,0.317,0.318,0.284,0.01725,
8,,1,32.6,30.9,31.75,0.119,0.02,0.168067227,0.319,0.269,0.262,0.27,0.0195,
8,,2,40.2,38.8,39.5,0.121,0.025,0.20661157,0.284,0.248,0.258,0.242,0.013,
8,,3,41.4,41.5,41.45,0.123,0.026,0.211382114,0.274,0.308,0.286,0.302,0.0125,
6,,1,29.5,29.2,29.35,0.134,0.021,0.156716418,0.298,0.315,0.28,0.323,0.015,
6,,2,29.3,27.2,28.25,0.126,0.02,0.158730159,0.308,0.272,0.266,0.296,0.0165,
6,,3,36.7,32.2,34.45,0.127,0.025,0.196850394,0.266,0.276,0.329,0.3,0.02175,
3,,1,29.5,31.8,30.65,0.143,0.023,0.160839161,0.318,0.346,0.319,0.372,0.02025,
3,,2,34.7,33.1,33.9,0.142,0.027,0.190140845,0.331,0.297,0.349,0.307,0.019,
3,,3,34.5,33.9,34.2,0.151,0.025,0.165562914,0.319,0.315,0.315,0.337,0.00775,
12,,1,38.6,43.8,41.2,0.123,0.03,0.243902439,0.266,0.276,0.267,0.304,0.012875,
12,,2,40.3,37.6,38.95,0.122,0.03,0.245901639,0.256,0.25,0.282,0.264,0.01,
12,,3,42.5,40.1,41.3,0.129,0.031,0.240310078,0.315,0.339,0.321,0.349,0.013,
9,,1,40.8,43,41.9,0.132,0.031,0.234848485,0.289,0.294,0.325,0.297,0.011875,
9,,2,42.9,41.4,42.15,0.134,0.033,0.246268657,0.303,0.306,0.309,0.295,0.00425,
9,,3,40.6,38.4,39.5,0.124,0.034,0.274193548,0.34,0.298,0.265,0.267,0.0265,
11,,1,40.5,38,39.25,0.117,0.026,0.222222222,0.266,0.286,0.288,0.264,0.011,
11,,2,38.4,36,37.2,0.115,0.054,0.469565217,0.293,0.246,0.264,0.268,0.01275,
11,,3,40.1,38.3,39.2,0.113,0.054,0.477876106,0.241,0.284,0.263,0.252,0.0135,
10,,1,32.1,32.5,32.3,0.129,0.026,0.201550388,0.293,0.305,0.303,0.29,0.00625,
10,,2,36.1,37,36.55,0.138,0.032,0.231884058,0.299,0.29,0.283,0.298,0.006,
10,,3,35.3,35.6,35.45,0.12,0.028,0.233333333,0.268,0.289,0.303,0.338,0.021,
1,,1,30.4,29.3,29.85,0.172,0.027,0.156976744,0.393,0.379,0.389,0.375,0.007,
1,,2,25.9,28.8,27.35,0.173,0.027,0.156069364,0.437,0.403,0.387,0.385,0.017,
1,,3,31.3,32,31.65,0.179,0.035,0.195530726,0.362,0.408,0.441,0.369,0.0295,
4,,1,31.4,31.5,31.45,0.138,0.017,0.123188406,0.319,0.32,0.29,0.296,0.01325,
4,,2,36.3,30,33.15,0.153,0.021,0.137254902,0.377,0.373,0.335,0.331,0.021,
23,,1,32.7,31.9,32.3,0.135,0.027,0.2,0.275,0.344,0.349,0.279,0.03475,
23,,2,31.8,33.6,32.7,0.136,0.029,0.213235294,0.329,0.31,0.319,0.338,0.0095,
23,,3,34.1,34.7,34.4,0.13,0.026,0.2,0.284,0.322,0.298,0.284,0.013,
15,,1,26.7,22.7,24.7,0.166,0.032,0.192771084,0.358,0.382,0.37,0.395,0.01225,
15,,2,21.9,21,21.45,0.192,0.035,0.182291667,0.41,0.438,0.426,0.429,0.007875,
15,,3,23.4,25.6,24.5,0.162,0.029,0.179012346,0.357,0.368,0.374,0.358,0.00675,
25,,1,28.8,25.8,27.3,0.115,0.025,0.217391304,0.268,0.27,0.274,0.281,0.00425,
25,,2,30.5,30.3,30.4,0.121,0.027,0.223140496,0.273,0.3,0.296,0.292,0.008625,
25,,3,32.6,30.4,31.5,0.118,0.027,0.228813559,0.26,0.265,0.28,0.245,0.01,
21,,1,24.4,24.5,24.45,0.162,0.034,0.209876543,0.38,0.381,0.376,0.373,0.003,
21,,2,29.4,27.3,28.35,0.166,0.035,0.210843373,0.417,0.379,0.387,0.375,0.01375,
21,,3,28,26.9,27.45,0.167,0.03,0.179640719,0.374,0.378,0.391,0.397,0.009,
13,,1,35.7,35.9,35.8,0.12,0.024,0.2,0.276,0.284,0.296,0.289,0.00625,
13,,2,28.2,30.4,29.3,0.13,0.023,0.176923077,0.296,0.312,0.303,0.303,0.00425,
13,,3,31.5,33,32.25,0.119,0.022,0.18487395,0.277,0.296,0.284,0.289,0.006,
14,,1,23.6,24.4,24,0.116,0.023,0.198275862,0.266,0.258,0.251,0.276,0.00825,
14,,2,28.7,29.4,29.05,0.136,0.025,0.183823529,0.365,0.307,0.353,0.272,0.03475,
14,,3,31.8,33.6,32.7,0.118,0.027,0.228813559,0.262,0.312,0.271,0.292,0.01775,
17,,1,31.7,31.9,31.8,0.144,0.03,0.208333333,0.318,0.373,0.315,0.318,0.021,
17,,2,29,29.1,29.05,0.146,0.03,0.205479452,0.327,0.378,0.365,0.334,0.0205,
17,,3,26.7,25.1,25.9,0.16,0.03,0.1875,0.38,0.35,0.363,0.385,0.013,
22,,1,28.7,27,27.85,0.12,0.025,0.208333333,0.25,0.284,0.312,0.304,0.0205,
22,,2,34,35.9,34.95,0.127,0.025,0.196850394,0.306,0.285,0.352,0.383,0.036,
22,,3,31.8,33.9,32.85,0.124,0.024,0.193548387,0.336,0.318,0.273,0.272,0.02725,
24,,1,27,24.8,25.9,0.148,0.029,0.195945946,0.338,0.324,0.324,0.309,0.007375,
24,,2,27.8,25.9,26.85,0.154,0.033,0.214285714,0.358,0.333,0.395,0.415,0.02975,
24,,3,26,24.5,25.25,0.14,0.029,0.207142857,0.299,0.304,0.352,0.296,0.019625,
19,,1,34.2,31.9,33.05,0.136,0.022,0.161764706,0.309,0.315,0.335,0.308,0.009125,
19,,2,30.3,29.4,29.85,0.15,0.027,0.18,0.332,0.338,0.349,0.344,0.00575,
19,,3,31.6,32.7,32.15,0.143,0.028,0.195804196,0.336,0.315,0.329,0.312,0.0095,
20,,1,22.5,22.8,22.65,0.14,0.025,0.178571429,0.313,0.309,0.347,0.353,0.0195,
20,,2,24.4,26.5,25.45,0.151,0.024,0.158940397,0.318,0.292,0.301,0.382,0.029375,
20,,3,27.2,27.6,27.4,0.135,0.025,0.185185185,0.276,0.276,0.286,0.301,0.00875,
16,,1,26.2,28.4,27.3,0.141,0.025,0.177304965,0.361,0.322,0.298,0.365,0.0265,
16,,2,28.5,30.6,29.55,0.152,0.028,0.184210526,0.361,0.332,0.358,0.35,0.00925,
16,,3,31.9,31.9,31.9,0.147,0.025,0.170068027,0.318,0.359,0.299,0.305,0.019375,
,,,,,,,,,,,,,,