ID,Weight,Grp,N%,C%,H%
1,9.99,humus,2.28,47.94,5.954
1,9.878,humus,2.28,49.4,6.621
1,10.511,humus,2.37,45.86,6.098
2-U,9.602,humus,2.07,47.94,6.054
2-U,9.705,humus,2.03,45.47,7.185
2-U,9.967,humus,2.13,46.22,6.397
2-L,9.573,humus,2.2,43.83,6.739
2-L,9.921,humus,2.2,43.87,6.92
2-O,9.515,humus,2.18,44.27,6.84
2-O,9.703,humus,2.18,44.4,6.973
3,9.746,humus,2.32,43.91,6.97
3,9.732,humus,2.28,44,7.018
4,9.652,humus,2.5,44.5,7.114
4,9.695,humus,2.75,44.68,7.114
5-U,10.046,humus,2.47,45.67,5.95
5-U,10.215,humus,2.51,45.33,6.203
5-L,10.346,humus,2.66,44.97,6.052
5-L,10.378,humus,2.5,45.11,6.056
5-O,10.135,humus,2.49,45.89,6.277
5-O,10.286,humus,2.45,45.97,6.286
6,10.177,humus,1.99,47.3,6.348
6,10.443,humus,2.06,47.18,6.373
7-U,10.117,humus,2.12,46.45,6.425
7-U,10.036,humus,2.14,46.62,6.428
7-M,10.022,humus,2.19,45.41,6.133
7-M,10.019,humus,2.1,45.31,6.138
7-L,10.276,humus,2.23,44.78,6.029
7-L,10.621,humus,1.93,44.72,5.996
7-O,9.768,humus,2.16,45.63,6.25
7-O,9.945,humus,2.14,45.68,6.216
8-U,9.577,humus,2.06,46.68,6.263
8-U,9.846,humus,1.96,46.77,6.381
8-L,10.333,humus,2.22,45.8,6.255
8-L,10.028,humus,2.11,45.74,6.251
8-O,10.358,humus,2.17,46.36,6.262
8-O,10.195,humus,2.17,46.57,6.296
9-U,10.224,humus,2.37,46.53,6.578
9-U,10.761,humus,2.47,46.33,6.587
9-M,10.161,humus,2.41,45.67,6.223
9-M,10.201,humus,2.44,45.57,6.235
9-L,10.467,humus,2.31,44.66,6.193
9-L,10.379,humus,2.21,44.88,6.164
9-O,10.685,humus,2.49,45.67,6.39
9-O,10.774,humus,2.45,45.71,6.357
10-U,10.553,humus,2.12,46.67,6.601
10-U,10.218,humus,2.14,46.76,6.587
10-L,10.514,humus,2.41,42.92,5.954
10-L,10.508,humus,2.42,42.96,5.973
10-O,10.107,humus,2.33,44.52,6.105
10-O,10.501,humus,2.35,44.29,6.073
11-U,10.38,humus,2.44,45.37,6.121
11-U,10.971,humus,2.49,45.32,6.245
11-M,10.376,humus,2.45,45.96,6.406
11-M,10.151,humus,2.5,45.95,6.367
11-L,10.853,humus,2.52,45.81,6.227
11-L,10.167,humus,2.46,45.81,6.216
11-O,10.477,humus,2.17,46.03,6.507
11-O,10.619,humus,2.15,46.04,6.484
12-U,10.35,humus,2.23,47.69,6.668
12-U,10.792,humus,2.11,47.55,6.508
12-M,10.323,humus,2.24,47.06,6.362
12-M,10.726,humus,2.27,46.87,6.342
12-L,10.583,humus,2.1,46.47,6.256
12-L,10.524,humus,2.16,46.47,6.267
12-O,10.102,humus,2.16,46.84,6.406
12-O,10.52,humus,2.18,46.92,6.432
13-U,10.388,humus,2.46,45.04,6.071
13-U,10.74,humus,2.47,44.95,6.345
13-M,10.957,humus,2.56,44.4,6.155
13-M,10.332,humus,2.5,44.65,6.159
13-L,10.39,humus,2.54,45.28,6.098
13-L,10.494,humus,2.54,45.17,6.094
13-O,10.188,humus,2.39,45.72,6.186
13-O,10.197,humus,2.44,45.51,6.234
14,10.252,humus,2.43,46.14,6.479
14,10.333,humus,2.38,46.19,6.47
15,10.329,humus,2.2,46.94,6.405
15,10.287,humus,2.22,46.9,6.373
16,10.388,humus,2.44,46.15,6.394
16,10.486,humus,2.46,46.03,6.362
17-U,10.102,humus,2.38,46.5,6.117
17-U,10.161,humus,2.27,46.72,6.262
17-L,10.856,humus,2.56,44.31,5.966
17-L,10.308,humus,2.62,44.09,5.975
17-O,10.585,humus,2.59,44.66,6.236
17-O,10.364,humus,2.47,44.75,6.236
19-U,10.997,humus,2,46.01,6.438
19-U,10.886,humus,2,45.99,6.427
19-M,10.322,humus,2.15,45.96,6.192
19-M,10.691,humus,2.09,45.97,6.22
19-L,10.707,humus,2.08,46.3,6.131
19-L,10.812,humus,2.1,46.31,6.132
19-O,10.361,humus,2.13,46.17,6.356
19-O,10.095,humus,2.12,46.17,6.318
20-U,10.475,humus,2.47,46.1,6.07
20-U,10.826,humus,2.38,46.12,6.225
20-L,10.805,humus,2.45,45.28,6.089
20-L,10.561,humus,2.39,45.62,6.143
20-O,10.376,humus,2.37,45.41,6.208
20-O,10.054,humus,2.32,45.49,6.233
21,10.028,humus,2.21,45.86,6.277
21,10.149,humus,2.18,46,6.312
22-U,10.354,humus,2.4,45.59,6.147
22-U,10.262,humus,2.28,45.6,6.187
22-M,10.026,humus,2.44,44.92,5.996
22-M,10.546,humus,2.34,44.84,6.018
22-L,10.855,humus,2.57,43.98,5.907
22-L,10.649,humus,2.58,44.01,5.894
22-O,10.322,humus,2.43,44.39,6.097
22-O,10.678,humus,2.41,44.3,6.088
23-U,10.624,humus,2.27,46.04,6.228
23-U,10.074,humus,2.3,46.11,6.491
23-L,10.475,humus,2.42,45.52,6.167
23-L,10.128,humus,2.48,45.28,6.176
23-O,10.346,humus,2.26,45.76,6.468
23-O,10.878,humus,2.31,45.43,6.428
24-U,10.272,humus,2.35,45.44,6.436
24-U,10.762,humus,2.29,45.48,6.463
24-L,10.424,humus,2.42,45.25,6.285
24-L,10.47,humus,2.42,45.29,6.277
24-O,10.933,humus,2.34,45.41,6.343
24-O,10.438,humus,2.2,45.54,6.298
25-U,10.349,humus,2.23,46.4,6.276
25-U,10.183,humus,2.19,46.15,6.386
25-M,10.375,humus,2.33,45.18,6.222
25-M,10.748,humus,2.34,45,6.24
25-L,10.76,humus,2.46,46.01,6.173
25-L,10.533,humus,2.48,46.02,6.187
25-O,10.554,humus,2.35,45.79,6.339
25-O,10.327,humus,2.34,45.94,6.362