pot_id,soil_sample_tag,soil_sp,decay_cat,soil_inoculum,seedling_sp,block_id,12/26,1/13,2/1,2/18,3/2,3/15,3/27,4/10,4/26,5/19,6/19,Wilt
1,22630,MACHZU,fresh,live,MACHZU,R,3.2,4.2,5.4,6.1,7.1,7.5,8.2,9,9.5,10.1,10.1,0
2,22630,MACHZU,fresh,live,ENGERO,R,3.1,4.3,4.9,6,6.5,6.5,6.8,7.3,8,9.2,10.1,0
3,171583,MACHZU,fresh,live,MACHZU,R,3.7,4.5,5.5,6.6,7,7.1,7.2,7.4,7.5,7.7,7.9,1
4,171583,MACHZU,fresh,live,ENGERO,R,2.7,3.8,5,6.2,7,8,8.7,9.7,10.8,11.5,12.4,0
5,193051,MACHZU,fresh,live,MACHZU,R,2.4,4.2,5.1,6.2,6.2,6.7,6.7,7,7.4,7.3,7.3,1
6,193051,MACHZU,fresh,live,ENGERO,R,3.1,4,4.6,5.2,5.4,5.4,5.6,6,6,Dead,Dead,0
7,61827,MACHZU,fresh,live,MACHZU,R,4.2,5.4,5.8,7,7.2,7.6,8.1,8.2,9.5,10.6,14.1,0
8,61827,MACHZU,fresh,live,ENGERO,R,4.8,5.5,6,6.5,7,7.2,7.9,8.6,9.5,10.3,11.8,0
9,93654,MACHZU,fresh,live,MACHZU,R,4.4,5.8,6.2,7.4,8.2,8.6,8.6,9.2,10,10.4,10.6,0
10,93654,MACHZU,fresh,live,ENGERO,R,1.5,2.9,3.7,4.5,5,5.2,5.7,6.1,7.5,8.6,8.6,0
11,182992,MACHZU,shortd,live,MACHZU,R,3.2,4,4.2,5.2,5.3,5.8,6.3,6.3,6.9,7.5,7.9,0
12,182992,MACHZU,shortd,live,ENGERO,R,3.5,4.3,5.3,6.2,6.6,7.3,8,9.1,9.5,10.3,10.7,0
13,170190,MACHZU,shortd,live,MACHZU,R,5.2,6.5,6.7,8,8,8,9.3,9.3,9.7,9.2,8.5,1
14,170190,MACHZU,shortd,live,ENGERO,R,3.4,4.7,5.5,6.2,7.4,7.4,7.6,8.5,8.5,9.1,9.6,0
15,22663,MACHZU,shortd,live,MACHZU,R,4.7,5.3,6,6.7,7.1,7.5,8.4,9,9.5,10.2,11.7,0
16,22663,MACHZU,shortd,live,ENGERO,T,3.7,5,5,6.1,6.2,6.5,7.2,8.1,9.1,10,10.8,0
17,171569,MACHZU,shortd,live,MACHZU,T,4.5,5.2,5.6,7.1,7.5,8,8.8,9,9.6,10.4,12.5,0
18,171569,MACHZU,shortd,live,ENGERO,T,4.7,6,6.6,7.5,8.2,9.1,10,11,12.9,13.5,16,0
19,152463,MACHZU,shortd,live,MACHZU,T,6.2,8,8,9.6,10,10.3,10.5,11.1,12.3,13,14,0
20,152463,MACHZU,shortd,live,ENGERO,T,4.4,5.7,6.2,7.5,7.8,8.3,8.5,9.1,10.3,11,12,0
21,133477,MACHZU,longd,live,MACHZU,T,4.2,5.2,5.6,6.7,6.7,7,7.5,7.8,8,9.7,12.4,0
22,133477,MACHZU,longd,live,ENGERO,T,4,4,4.5,4.9,5.4,5.4,5.6,6.4,6.9,7.4,8.3,0
23,171234,MACHZU,longd,live,MACHZU,T,4.7,5.2,5.7,6.6,6.8,7.4,7.8,8.9,9,10.6,12.9,0
24,171234,MACHZU,longd,live,ENGERO,T,4.2,5.1,5.8,7.5,8.1,9.1,9.6,10.5,11.3,12.6,13.7,0
25,200817,MACHZU,longd,live,MACHZU,T,4.8,5.4,5.5,7,7.3,7.5,8.1,8.1,8.7,9.5,10.1,0
26,200817,MACHZU,longd,live,ENGERO,T,4.5,5.6,6.2,7,7.6,8,8.5,9,9.5,10.1,11.2,0
27,160682,MACHZU,longd,live,MACHZU,T,5.6,6.5,7.2,9.2,10,10.5,11.3,12.9,14,14.2,15.9,0
28,160682,MACHZU,longd,live,ENGERO,T,3.4,3.8,4.3,5.5,5.8,6,6.6,6.9,8.2,8.5,9.7,0
29,143805,MACHZU,longd,live,MACHZU,T,4,5.2,5.4,7,7,7.1,7.8,8.1,9,9.5,10.6,0
30,143805,MACHZU,longd,live,ENGERO,T,3.7,4.3,4.7,5.6,5.8,6.2,6.6,7.7,8,9.4,11.1,0
31,240230,ENGERO,fresh,live,MACHZU,U,3.5,5.4,6,8,9,9.4,10.2,11.6,13.2,14.1,19.2,0
32,240230,ENGERO,fresh,live,ENGERO,U,3.8,4.5,5.6,6.5,7,7.5,7.7,8.6,9.6,11.4,13.3,0
33,2032,ENGERO,fresh,live,MACHZU,U,3.8,4.8,5,7.2,7.7,8.1,9,9.6,9.7,10.2,10.1,0
34,2032,ENGERO,fresh,live,ENGERO,U,2.7,3.7,4.4,5.2,5.4,5.4,5.9,6.9,7.5,8.6,10.3,0
35,11977,ENGERO,fresh,live,MACHZU,U,3.6,4.9,5.5,7.5,7.7,8.1,8.3,9.5,8.6,8.7,9.2,0
36,11977,ENGERO,fresh,live,ENGERO,U,2.1,4,5,6.5,7.5,8.7,9.6,10.4,11.1,112,12.3,0
37,73560,ENGERO,fresh,live,MACHZU,U,3.9,4.3,4.9,6,6.2,6.2,6.2,6,6.1,4.7,6.3,1
38,73560,ENGERO,fresh,live,ENGERO,U,2.9,3.6,5,6.2,6.8,7.2,8,8.8,9.1,10.1,11,0
39,104844,ENGERO,fresh,live,MACHZU,U,3.9,4.6,5.1,5.4,5.7,5.5,5.5,5.3,5.3,4.9,5,1
40,104844,ENGERO,fresh,live,ENGERO,U,2.7,3.5,4.9,5.9,6.7,7.3,8,8.5,9.8,10.5,11.7,0
41,11220,ENGERO,shortd,live,MACHZU,U,3.9,4.8,5.5,7.1,7.1,7.1,7.1,7.1,7.1,7.2,7.4,1
42,11220,ENGERO,shortd,live,ENGERO,U,3,3.6,4,4.6,5.2,5.5,6,6.6,8.2,9,10.4,0
43,83549,ENGERO,shortd,live,MACHZU,U,4,5.2,5.5,7.7,9.2,9.8,10.6,11.5,12.2,12.2,12.6,0
44,83549,ENGERO,shortd,live,ENGERO,U,1.6,2.5,3.1,4,4.5,5.1,5.8,6.1,7,8,8.5,0
45,153585,ENGERO,shortd,live,MACHZU,U,5.1,6,6.5,8.6,9,9,9.5,9.5,8.8,9.8,9.8,0
46,153585,ENGERO,shortd,live,ENGERO,S,2.4,3.5,4.7,5.8,6.2,6.6,7.5,8.3,9.5,10.4,12.7,0
47,123304,ENGERO,shortd,live,MACHZU,S,4.7,5.7,6.5,7.7,7.9,8.1,8.9,10,10.6,11.1,11.5,0
48,123304,ENGERO,shortd,live,ENGERO,S,2.2,2.5,3.4,4.4,5.2,5.5,6.1,6.7,7.7,9.5,10.5,0
49,43315,ENGERO,shortd,live,MACHZU,S,3.6,4.4,4.8,5.8,6.5,6.7,7.2,7.6,7.7,10,10.6,0
50,43315,ENGERO,shortd,live,ENGERO,S,2.4,3.8,4.2,5.3,5.7,6.5,7.1,7.7,8.3,9.9,11.4,0
51,243917,ENGERO,longd,live,MACHZU,S,3.4,4.5,4.5,5.9,6.1,6.5,6.5,6.8,7,6.6,5.3,1
52,243917,ENGERO,longd,live,ENGERO,S,3.2,4.4,4.7,6,6.5,7,7.8,8.8,9.5,9.8,10.8,0
53,42386,ENGERO,longd,live,MACHZU,S,3.5,4.2,5,6.5,6.6,7.1,7.2,7.5,8,8.7,9,0
54,42386,ENGERO,longd,live,ENGERO,S,3.6,4,4.5,4.9,5.1,5.3,5.6,6.1,6.8,8.3,10.3,0
55,21530,ENGERO,longd,live,MACHZU,S,3.2,4.1,4.7,5.7,6.2,6.5,7,8.2,9,11.1,12.3,0
56,21530,ENGERO,longd,live,ENGERO,S,2.5,3,3.6,4.5,4.7,5.3,6,7,8,9.4,10.9,0
57,13054,ENGERO,longd,live,MACHZU,S,5,5.6,5.6,7.1,7.5,8.1,8.6,9.1,9.9,11,11.9,0
58,13054,ENGERO,longd,live,ENGERO,S,2,2.6,3.6,4.9,5.5,6.1,7,8.1,9.1,9.7,12,0
59,21783,ENGERO,longd,live,MACHZU,S,4.9,5.6,5.7,6.5,7,7.2,7.2,7.9,7.6,8.1,9,0
60,21783,ENGERO,longd,live,ENGERO,S,4.9,5.7,6,6.7,6.8,7.2,7.6,7.6,8.3,9,9.2,0